n_samples,epsilon,run_idx,seed,dp_mse_truth,dp_runtime_s,timestamp
2100,0.1,12,2100022,0.006280147413791375,0.06657537491992116,2026-04-30 20:35:52
2100,0.1,13,2100023,0.002285065217030531,0.05401812493801117,2026-04-30 20:35:52
2100,0.1,14,2100024,0.020904156588907537,0.05902512511238456,2026-04-30 20:35:52
2100,0.1,15,2100025,0.012799478681129128,0.05097670806571841,2026-04-30 20:35:52
2100,0.1,18,2100028,0.018960540849677427,0.04702679067850113,2026-04-30 20:35:52
2100,0.1,17,2100027,0.0039804106545330105,0.05195395788177848,2026-04-30 20:35:52
2100,0.1,16,2100026,0.006097919444442334,0.0564489159733057,2026-04-30 20:35:52
2100,0.1,19,2100029,0.009287282574367617,0.0494634578935802,2026-04-30 20:35:52
2100,0.2,0,2100020,0.0030351425328220805,0.07313799997791648,2026-04-30 20:36:00
2100,0.2,1,2100021,0.0027708524639933818,0.08639220800250769,2026-04-30 20:36:00
2100,0.2,2,2100022,0.002247338358566253,0.10489908326417208,2026-04-30 20:36:00
2100,0.2,3,2100023,0.0033210475379874395,0.08456679107621312,2026-04-30 20:36:00
2100,0.2,4,2100024,0.004388418767051685,0.06326249986886978,2026-04-30 20:36:00
2100,0.2,5,2100025,0.006590102311022626,0.07015087502077222,2026-04-30 20:36:00
2100,0.2,6,2100026,0.0012255573059405307,0.05432891706004739,2026-04-30 20:36:00
2100,0.2,8,2100028,0.0058874196750364535,0.06009049993008375,2026-04-30 20:36:00
2100,0.2,7,2100027,0.006082783290939054,0.06589166726917028,2026-04-30 20:36:00
2100,0.2,9,2100029,0.0029677517999866726,0.0705404169857502,2026-04-30 20:36:00
2100,0.2,10,2100030,0.011830560051619622,0.06490537477657199,2026-04-30 20:36:00
2100,0.2,11,2100031,0.006198777493649214,0.06906524999067187,2026-04-30 20:36:00
2100,0.2,12,2100032,0.0033822723066040047,0.06872079195454717,2026-04-30 20:36:00
2100,0.2,14,2100034,0.002464984365780707,0.057938999962061644,2026-04-30 20:36:00
2100,0.2,13,2100033,0.009881148674211039,0.060519457794725895,2026-04-30 20:36:00
2100,0.2,16,2100036,0.004936760903095047,0.046662458684295416,2026-04-30 20:36:00
2100,0.2,19,2100039,0.0024827524671114133,0.04186774976551533,2026-04-30 20:36:00
2100,0.2,15,2100035,0.004571202459694487,0.060828167013823986,2026-04-30 20:36:00
2100,0.2,17,2100037,0.0052897558120245805,0.051174750085920095,2026-04-30 20:36:00
2100,0.2,18,2100038,0.0019111646046670162,0.05221033422276378,2026-04-30 20:36:00
2100,0.5,0,2100050,0.007473640724840271,0.07635679235681891,2026-04-30 20:36:07
2100,0.5,1,2100051,0.0006098241015227877,0.06428524991497397,2026-04-30 20:36:07
2100,0.5,2,2100052,0.0005608845420811329,0.07011004211381078,2026-04-30 20:36:07
2100,0.5,3,2100053,0.0006561210634561083,0.05999787477776408,2026-04-30 20:36:07
2100,0.5,4,2100054,0.001192091449723925,0.06397225009277463,2026-04-30 20:36:07
2100,0.5,5,2100055,0.007314135101483194,0.055737500078976154,2026-04-30 20:36:07
2100,0.5,6,2100056,0.0018275938561152392,0.05931258387863636,2026-04-30 20:36:07
2100,0.5,8,2100058,0.0009903110279919118,0.04964720830321312,2026-04-30 20:36:07
2100,0.5,7,2100057,0.0008643941417481575,0.05548012489452958,2026-04-30 20:36:07
2100,0.5,9,2100059,0.0006253451890624621,0.051735916174948215,2026-04-30 20:36:07
2100,0.5,10,2100060,0.00044072944176248505,0.05252520786598325,2026-04-30 20:36:07
2100,0.5,12,2100062,0.00048412208848090763,0.05537108285352588,2026-04-30 20:36:07
2100,0.5,11,2100061,0.0019192844623323886,0.08402104210108519,2026-04-30 20:36:07
2100,0.5,16,2100066,0.0017012789565578434,0.05295241577550769,2026-04-30 20:36:07
2100,0.5,13,2100063,0.0015610306376183023,0.06297075003385544,2026-04-30 20:36:07
2100,0.5,15,2100065,0.007338777202361877,0.05963787529617548,2026-04-30 20:36:07
2100,0.5,18,2100068,0.0009992274293897827,0.0440251249819994,2026-04-30 20:36:07
2100,0.5,14,2100064,0.0005461346533171153,0.0635997080244124,2026-04-30 20:36:07
2100,0.5,17,2100067,0.007057192999583817,0.06246608402580023,2026-04-30 20:36:07
2100,0.5,19,2100069,0.0016244458358906006,0.041504207998514175,2026-04-30 20:36:07
2100,1.0,0,2100100,0.0002771470308646186,0.06933570932596922,2026-04-30 20:36:14
2100,1.0,1,2100101,0.00044424629365907517,0.06102675013244152,2026-04-30 20:36:14
2100,1.0,2,2100102,0.00045270375176317313,0.0575312920846045,2026-04-30 20:36:14
2100,1.0,3,2100103,0.0004800512753860683,0.048239458817988634,2026-04-30 20:36:14
2100,1.0,4,2100104,0.0006262993992506757,0.05423124972730875,2026-04-30 20:36:14
2100,1.0,5,2100105,0.0005489851217857446,0.05410070903599262,2026-04-30 20:36:14
2100,1.0,6,2100106,0.00046031585568770585,0.054239250253885984,2026-04-30 20:36:14
2100,1.0,8,2100108,0.000592472872727714,0.05580808315426111,2026-04-30 20:36:14
2100,1.0,7,2100107,0.0003841042845914882,0.08622270915657282,2026-04-30 20:36:14
2100,1.0,9,2100109,0.0005804374608656475,0.058410417288541794,2026-04-30 20:36:14
2100,1.0,11,2100111,0.000499372759653951,0.05398525018244982,2026-04-30 20:36:14
2100,1.0,10,2100110,0.0006427230447684451,0.07172191701829433,2026-04-30 20:36:14
2100,1.0,12,2100112,0.0008687901225277975,0.056415583938360214,2026-04-30 20:36:14
2100,1.0,14,2100114,0.0003882850387539412,0.05190012464299798,2026-04-30 20:36:15
2100,1.0,13,2100113,0.0004434377742809018,0.056631042156368494,2026-04-30 20:36:15
2100,1.0,15,2100115,0.00034316578152362054,0.0595686249434948,2026-04-30 20:36:15
2100,1.0,18,2100118,0.0007038984142063112,0.047985249664634466,2026-04-30 20:36:15
