n_samples,epsilon,run_idx,seed,pms_mse_truth,pms_runtime_s,timestamp
1200,0.5,14,3200064,0.0008187804198106815,0.10366208385676146,2026-04-30 20:35:39
1200,0.5,15,3200065,0.0008187804198106815,0.10288104182109237,2026-04-30 20:35:39
1200,0.5,16,3200066,0.0008187804198106815,0.10344366682693362,2026-04-30 20:35:39
1200,0.5,17,3200067,0.0008187804198106815,0.10318045876920223,2026-04-30 20:35:39
1200,0.5,18,3200068,0.0008187804198106815,0.10320929111912847,2026-04-30 20:35:39
1200,0.5,19,3200069,0.0008187804198106815,0.1035224162042141,2026-04-30 20:35:39
1200,1.0,0,3200100,0.0008187804198106815,0.10506449965760112,2026-04-30 20:35:41
1200,1.0,1,3200101,0.0008187804198106815,0.10421474976465106,2026-04-30 20:35:42
1200,1.0,2,3200102,0.0008187804198106815,0.10432712500914931,2026-04-30 20:35:42
1200,1.0,3,3200103,0.0008187804198106815,0.10384308313950896,2026-04-30 20:35:42
1200,1.0,4,3200104,0.0008187804198106815,0.10365812480449677,2026-04-30 20:35:42
1200,1.0,5,3200105,0.0008187804198106815,0.10388466715812683,2026-04-30 20:35:42
1200,1.0,6,3200106,0.0008187804198106815,0.10331591684371233,2026-04-30 20:35:42
1200,1.0,7,3200107,0.0008187804198106815,0.10400012508034706,2026-04-30 20:35:42
1200,1.0,8,3200108,0.0008187804198106815,0.10351208318024874,2026-04-30 20:35:42
1200,1.0,9,3200109,0.0008187804198106815,0.10420670779421926,2026-04-30 20:35:42
1200,1.0,10,3200110,0.0008187804198106815,0.10373862506821752,2026-04-30 20:35:43
1200,1.0,11,3200111,0.0008187804198106815,0.10418187500908971,2026-04-30 20:35:43
1200,1.0,12,3200112,0.0008187804198106815,0.1035563750192523,2026-04-30 20:35:43
1200,1.0,13,3200113,0.0008187804198106815,0.10421437490731478,2026-04-30 20:35:43
1200,1.0,14,3200114,0.0008187804198106815,0.10342320799827576,2026-04-30 20:35:43
1200,1.0,15,3200115,0.0008187804198106815,0.10361916711553931,2026-04-30 20:35:43
1200,1.0,16,3200116,0.0008187804198106815,0.10332720773294568,2026-04-30 20:35:43
1200,1.0,17,3200117,0.0008187804198106815,0.10324491700157523,2026-04-30 20:35:43
1200,1.0,18,3200118,0.0008187804198106815,0.10355058312416077,2026-04-30 20:35:43
1200,1.0,19,3200119,0.0008187804198106815,0.10316458391025662,2026-04-30 20:35:43
2100,0.1,0,4100010,0.0007872377137359495,0.24340070830658078,2026-04-30 20:35:46
2100,0.1,1,4100011,0.0007872377137359495,0.24378283275291324,2026-04-30 20:35:46
2100,0.1,2,4100012,0.0007872377137359495,0.24321179231628776,2026-04-30 20:35:46
2100,0.1,3,4100013,0.0007872377137359495,0.24361195927485824,2026-04-30 20:35:47
2100,0.1,4,4100014,0.0007872377137359495,0.24430662486702204,2026-04-30 20:35:47
2100,0.1,5,4100015,0.0007872377137359495,0.24361383309587836,2026-04-30 20:35:47
2100,0.1,6,4100016,0.0007872377137359495,0.2442183750681579,2026-04-30 20:35:47
2100,0.1,7,4100017,0.0007872377137359495,0.24649954121559858,2026-04-30 20:35:48
2100,0.1,8,4100018,0.0007872377137359495,0.2460344578139484,2026-04-30 20:35:48
2100,0.1,9,4100019,0.0007872377137359495,0.24256891710683703,2026-04-30 20:35:48
2100,0.1,10,4100020,0.0007872377137359495,0.2430940829217434,2026-04-30 20:35:48
2100,0.1,11,4100021,0.0007872377137359495,0.24424416571855545,2026-04-30 20:35:49
